batch_index,patient_id,modality,label,label_name,image_path,shape,min,max,mean,std,nonzero_fraction
0,BraTS20_Training_001,T1,0,T1,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_001/BraTS20_Training_001_t1.nii,96x96x96,-3.603337287902832,2.4000589847564697,7.61614913358244e-08,0.9298590421676636,0.8646375868055556
1,BraTS20_Training_001,T2,1,T2,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_001/BraTS20_Training_001_t2.nii,96x96x96,-2.062863349914551,4.641192436218262,8.195638656616211e-08,0.9298589825630188,0.8646375868055556
2,BraTS20_Training_001,FLAIR,2,FLAIR,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_001/BraTS20_Training_001_flair.nii,96x96x96,-2.2184503078460693,4.550034523010254,1.2417634032146907e-08,0.9298591017723083,0.8646375868055556
3,BraTS20_Training_001,T1CE,3,T1CE,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_001/BraTS20_Training_001_t1ce.nii,96x96x96,-3.2389090061187744,8.224967002868652,3.0643963100374094e-07,0.9298588037490845,0.8646375868055556
4,BraTS20_Training_002,T1,0,T1,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_002/BraTS20_Training_002_t1.nii,96x96x96,-3.892843008041382,2.8178324699401855,-6.595143275944793e-08,0.9571874141693115,0.9162077727141203
5,BraTS20_Training_002,T2,1,T2,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_002/BraTS20_Training_002_t2.nii,96x96x96,-2.5801830291748047,6.464855670928955,7.72652786196204e-09,0.9571874141693115,0.9162077727141203
6,BraTS20_Training_002,FLAIR,2,FLAIR,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_002/BraTS20_Training_002_flair.nii,96x96x96,-3.0212199687957764,8.01966667175293,-1.3328261161404953e-07,0.9571874141693115,0.9162077727141203
7,BraTS20_Training_002,T1CE,3,T1CE,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_002/BraTS20_Training_002_t1ce.nii,96x96x96,-4.056623935699463,11.895915031433105,6.070843738825715e-08,0.9571874141693115,0.9162077727141203
8,BraTS20_Training_003,T1,0,T1,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_003/BraTS20_Training_003_t1.nii,96x96x96,-3.9050371646881104,2.7119171619415283,3.739087617304904e-08,0.9121339321136475,0.8319882993344907
9,BraTS20_Training_003,T2,1,T2,/Users/kp/Documents/BRAINIAC/BrainIAC/Dataset/BraTS2020_TrainingData/MICCAI_BraTS2020_TrainingData/BraTS20_Training_003/BraTS20_Training_003_t2.nii,96x96x96,-2.362931489944458,6.163948059082031,-1.3083356975585048e-07,0.9121339917182922,0.8319882993344907
